Date,Close,Open,High,Low
21/04/2015,1.0736,1.074,1.0784,1.0661
22/04/2015,1.0726,1.0736,1.0802,1.0709
23/04/2015,1.0827,1.0726,1.0848,1.0667
24/04/2015,1.0874,1.0825,1.0901,1.0785
27/04/2015,1.0888,1.0873,1.0928,1.0821
28/04/2015,1.0981,1.0894,1.0991,1.0859
29/04/2015,1.1132,1.0983,1.1189,1.096
30/04/2015,1.1225,1.113,1.1269,1.1073
1/5/2015,1.1202,1.1223,1.129,1.1176
4/5/2015,1.1146,1.1202,1.1226,1.1123
5/5/2015,1.1186,1.1147,1.1223,1.1067
6/5/2015,1.1353,1.1187,1.1372,1.1176
7/5/2015,1.1267,1.1347,1.1393,1.1237
8/5/2015,1.1204,1.1267,1.129,1.1178
11/5/2015,1.1155,1.1197,1.1207,1.1131
12/5/2015,1.1214,1.1155,1.1277,1.1134
13/05/2015,1.1357,1.1214,1.1385,1.1204
14/05/2015,1.141,1.1359,1.1447,1.1341
15/05/2015,1.1452,1.141,1.1467,1.1324
18/05/2015,1.1315,1.1441,1.145,1.1298
19/05/2015,1.1149,1.1317,1.1328,1.1119
20/05/2015,1.1093,1.115,1.1156,1.1063
21/05/2015,1.1113,1.1092,1.1181,1.108
22/05/2015,1.1018,1.1115,1.1211,1.1004
25/05/2015,1.0978,1.1006,1.1012,1.0961
26/05/2015,1.0873,1.0978,1.0985,1.0863
27/05/2015,1.0905,1.0873,1.0931,1.082
28/05/2015,1.0949,1.0905,1.096,1.0869
29/05/2015,1.0988,1.0948,1.1006,1.0926
1/6/2015,1.0928,1.0989,1.0991,1.0888
2/6/2015,1.1155,1.0928,1.1193,1.0915
3/6/2015,1.1275,1.1151,1.1284,1.1079
4/6/2015,1.1239,1.1276,1.1381,1.1227
5/6/2015,1.1113,1.1239,1.1281,1.105
8/6/2015,1.1292,1.1113,1.1307,1.108
9/6/2015,1.1284,1.1292,1.1345,1.1214
10/6/2015,1.1326,1.1286,1.1387,1.1261
11/6/2015,1.1258,1.1325,1.1332,1.1183
12/6/2015,1.1269,1.1258,1.1298,1.1151
15/06/2015,1.1284,1.1225,1.1294,1.1189
16/06/2015,1.1248,1.1283,1.1331,1.1206
17/06/2015,1.1337,1.1249,1.136,1.1213
18/06/2015,1.136,1.1337,1.1438,1.1331
19/06/2015,1.1353,1.136,1.1393,1.1292
22/06/2015,1.1341,1.1363,1.1411,1.1312
23/06/2015,1.117,1.1341,1.1348,1.1135
24/06/2015,1.1207,1.1171,1.1237,1.1156
25/06/2015,1.1204,1.1204,1.1227,1.1153
26/06/2015,1.1166,1.1207,1.1221,1.1131
29/06/2015,1.1236,1.1031,1.1279,1.0954
30/06/2015,1.1138,1.1237,1.1246,1.1114
1/7/2015,1.1054,1.1139,1.1172,1.1042
2/7/2015,1.1084,1.1054,1.1124,1.1031
3/7/2015,1.1114,1.1086,1.1119,1.1066
6/7/2015,1.1057,1.0993,1.1097,1.0969
7/7/2015,1.1012,1.1056,1.1061,1.0917
8/7/2015,1.1077,1.1012,1.1094,1.0974
9/7/2015,1.1038,1.1078,1.1126,1.0992
10/7/2015,1.1164,1.1037,1.1218,1.1031
13/07/2015,1.1004,1.1107,1.1197,1.0995
14/07/2015,1.1012,1.1004,1.1084,1.0966
15/07/2015,1.0949,1.101,1.1035,1.093
16/07/2015,1.0875,1.0947,1.0964,1.0856
17/07/2015,1.0829,1.0875,1.0907,1.0827
20/07/2015,1.0827,1.0833,1.0872,1.081
21/07/2015,1.0937,1.0825,1.097,1.0811
22/07/2015,1.0934,1.0936,1.0966,1.0869
23/07/2015,1.0983,1.0928,1.1019,1.0922
24/07/2015,1.0984,1.0983,1.0997,1.0926
27/07/2015,1.1094,1.0974,1.113,1.097
28/07/2015,1.1059,1.1089,1.1101,1.1022
29/07/2015,1.0986,1.1061,1.1086,1.0967
30/07/2015,1.0933,1.0987,1.0992,1.0894
31/07/2015,1.0988,1.0934,1.1114,1.0921
3/8/2015,1.0951,1.097,1.0997,1.0941
4/8/2015,1.0882,1.0951,1.0989,1.0877
5/8/2015,1.0906,1.0883,1.0938,1.0849
6/8/2015,1.0925,1.0909,1.0944,1.0876
7/8/2015,1.0968,1.093,1.0981,1.0857
10/8/2015,1.1019,1.0969,1.1044,1.0927
11/8/2015,1.104,1.1019,1.1088,1.096
12/8/2015,1.1157,1.104,1.1212,1.1023
13/08/2015,1.1149,1.1157,1.1189,1.108
14/08/2015,1.1107,1.1149,1.1189,1.1096
17/08/2015,1.1081,1.1106,1.1125,1.1058
18/08/2015,1.1021,1.1083,1.1096,1.1018
19/08/2015,1.1119,1.1023,1.1137,1.1019
20/08/2015,1.1242,1.1117,1.1246,1.1105
21/08/2015,1.1389,1.1244,1.1393,1.1229
24/08/2015,1.162,1.1363,1.1713,1.1363
