Date,IRX,TNX
1/1/1985,8.05,11.17
2/1/1985,8.5,11.91
3/1/1985,8.18,11.65
4/1/1985,7.85,11.41
5/1/1985,7.14,10.28
6/1/1985,6.83,10.25
7/1/1985,7.28,10.57
8/1/1985,7.14,10.28
9/1/1985,7.04,10.31
10/1/1985,7.19,10.01
11/1/1985,7.16,9.59
12/1/1985,7.05,9
1/1/1986,6.97,9.08
2/1/1986,7.02,8.13
3/1/1986,6.34,7.39
4/1/1986,6.1,7.38
5/1/1986,6.3,8.05
6/1/1986,5.96,7.35
7/1/1986,5.79,7.34
8/1/1986,5.17,6.95
9/1/1986,5.2,7.45
10/1/1986,5.2,7.34
11/1/1986,5.39,7.15
12/1/1986,5.67,7.23
1/1/1987,5.6,7.18
2/1/1987,5.45,7.19
3/1/1987,5.61,7.51
4/1/1987,5.53,8.21
5/1/1987,5.68,8.49
6/1/1987,5.73,8.38
7/1/1987,6.07,8.66
8/1/1987,6.25,9
9/1/1987,6.61,9.63
10/1/1987,5.27,8.88
11/1/1987,5.21,8.99
12/1/1987,5.68,8.83
1/1/1988,5.64,8.26
2/1/1988,5.62,8.16
3/1/1988,5.71,8.57
4/1/1988,5.98,8.87
5/1/1988,6.43,9.2
6/1/1988,6.56,8.82
7/1/1988,6.95,9.12
8/1/1988,7.3,9.25
9/1/1988,7.25,8.87
10/1/1988,7.36,8.65
11/1/1988,7.83,9.06
12/1/1988,8.1,9.14
1/1/1989,8.39,9.01
2/1/1989,8.71,9.32
3/1/1989,8.9,9.3
4/1/1989,8.41,9.02
5/1/1989,8.61,8.6
6/1/1989,7.99,8.1
7/1/1989,7.8,7.82
8/1/1989,7.89,8.26
9/1/1989,7.91,8.31
10/1/1989,7.77,7.92
11/1/1989,7.59,7.84
12/1/1989,7.55,7.93
1/1/1990,7.74,8.43
2/1/1990,7.77,8.51
3/1/1990,7.8,8.65
4/1/1990,7.79,9.04
5/1/1990,7.75,8.6
6/1/1990,7.74,8.43
7/1/1990,7.49,8.36
8/1/1990,7.39,8.86
9/1/1990,7.14,8.82
10/1/1990,7.11,8.65
11/1/1990,7.02,8.26
12/1/1990,6.44,8.08
1/1/1991,6.19,8.03
2/1/1991,6.04,8.02
3/1/1991,5.74,8.05
4/1/1991,5.51,8.02
5/1/1991,5.53,8.06
6/1/1991,5.54,8.24
7/1/1991,5.53,8.2
8/1/1991,5.33,7.82
9/1/1991,5.11,7.47
10/1/1991,4.82,7.47
11/1/1991,4.35,7.38
12/1/1991,3.88,6.71
1/1/1992,3.84,7.31
2/1/1992,3.93,7.27
3/1/1992,4.05,7.54
4/1/1992,3.7,7.61
5/1/1992,3.7,7.33
6/1/1992,3.57,7.14
7/1/1992,3.18,6.72
8/1/1992,3.16,6.62
9/1/1992,2.69,6.37
10/1/1992,2.96,6.8
11/1/1992,3.27,6.95
12/1/1992,3.08,6.7
1/1/1993,2.9,6.39
2/1/1993,2.95,6.03
3/1/1993,2.89,6.03
4/1/1993,2.91,6.05
5/1/1993,3.06,6.16
6/1/1993,3.03,5.8
7/1/1993,3.03,5.83
8/1/1993,3.01,5.45
9/1/1993,2.92,5.4
10/1/1993,3.03,5.388
11/1/1993,3.14,5.795
12/1/1993,3,5.783
1/1/1994,2.97,5.638
2/1/1994,3.36,6.15
3/1/1994,3.47,6.774
4/1/1994,3.86,7.035
5/1/1994,4.17,7.152
6/1/1994,4.14,7.329
7/1/1994,4.27,7.095
8/1/1994,4.56,7.165
9/1/1994,4.67,7.599
10/1/1994,5.02,7.793
11/1/1994,5.55,7.888
12/1/1994,5.53,7.827
1/1/1995,5.84,7.593
2/1/1995,5.75,7.21
3/1/1995,5.7,7.189
4/1/1995,5.69,7.046
5/1/1995,5.63,6.286
6/1/1995,5.43,6.203
7/1/1995,5.42,6.429
8/1/1995,5.27,6.273
9/1/1995,5.24,6.157
10/1/1995,5.31,6.003
11/1/1995,5.32,5.745
12/1/1995,4.96,5.575
1/1/1996,4.91,5.581
2/1/1996,4.88,6.112
3/1/1996,5,6.334
4/1/1996,5.01,6.633
5/1/1996,5.04,6.844
6/1/1996,5.03,6.711
7/1/1996,5.18,6.79
8/1/1996,5.14,6.936
9/1/1996,4.91,6.699
10/1/1996,5.01,6.349
11/1/1996,4.99,6.04
12/1/1996,5.05,6.407
1/1/1997,5.01,6.503
2/1/1997,5.07,6.535
3/1/1997,5.17,6.907
4/1/1997,5.1,6.702
5/1/1997,4.82,6.663
6/1/1997,5.05,6.502
7/1/1997,5.1,6.004
8/1/1997,5.09,6.33
9/1/1997,4.97,6.107
10/1/1997,5.06,5.819
11/1/1997,5.06,5.851
12/1/1997,5.2,5.739
1/1/1998,5.04,5.512
2/1/1998,5.18,5.616
3/1/1998,4.99,5.662
4/1/1998,4.85,5.667
5/1/1998,4.89,5.546
6/1/1998,4.97,5.434
7/1/1998,4.95,5.494
8/1/1998,4.76,5.032
9/1/1998,4.25,4.41
10/1/1998,4.21,4.603
11/1/1998,4.42,4.726
12/1/1998,4.35,4.638
1/1/1999,4.36,4.653
2/1/1999,4.55,5.272
3/1/1999,4.36,5.234
4/1/1999,4.43,5.35
5/1/1999,4.51,5.611
6/1/1999,4.67,5.81
7/1/1999,4.62,5.907
8/1/1999,4.85,5.979
9/1/1999,4.71,5.885
10/1/1999,4.96,6.003
11/1/1999,5.15,6.163
12/1/1999,5.17,6.435
1/1/2000,5.53,6.667
2/1/2000,5.64,6.409
3/1/2000,5.72,6.023
4/1/2000,5.65,6.214
5/1/2000,5.49,6.285
6/1/2000,5.7,6.018
7/1/2000,6.02,6.029
8/1/2000,6.11,5.729
9/1/2000,6.03,5.778
10/1/2000,6.15,5.757
11/1/2000,6.01,5.439
12/1/2000,5.73,5.11
1/1/2001,4.84,5.179
2/1/2001,4.72,4.908
3/1/2001,4.18,4.915
4/1/2001,3.83,5.338
5/1/2001,3.54,5.413
6/1/2001,3.56,5.39
7/1/2001,3.44,5.037
8/1/2001,3.28,4.816
9/1/2001,2.3,4.575
10/1/2001,2.01,4.263
11/1/2001,1.73,4.744
12/1/2001,1.67,5.032
1/1/2002,1.72,5.025
2/1/2002,1.72,4.859
3/1/2002,1.74,5.406
4/1/2002,1.73,5.091
5/1/2002,1.705,5.043
6/1/2002,1.659,4.824
7/1/2002,1.665,4.465
8/1/2002,1.645,4.137
9/1/2002,1.527,3.607
10/1/2002,1.417,3.911
11/1/2002,1.202,4.213
12/1/2002,1.182,3.818
1/1/2003,1.148,3.975
2/1/2003,1.175,3.696
3/1/2003,1.09,3.823
4/1/2003,1.101,3.857
5/1/2003,1.085,3.35
6/1/2003,0.838,3.528
7/1/2003,0.927,4.474
8/1/2003,0.96,4.454
9/1/2003,0.926,3.937
10/1/2003,0.932,4.301
11/1/2003,0.908,4.32
12/1/2003,0.907,4.257
1/1/2004,0.897,4.138
2/1/2004,0.927,3.984
3/1/2004,0.923,3.837
4/1/2004,0.952,4.501
5/1/2004,1.052,4.655
6/1/2004,1.303,4.617
7/1/2004,1.412,4.475
8/1/2004,1.568,4.132
9/1/2004,1.674,4.119
10/1/2004,1.867,4.029
11/1/2004,2.182,4.358
12/1/2004,2.182,4.216
1/1/2005,2.422,4.133
2/1/2005,2.69,4.359
3/1/2005,2.722,4.496
4/1/2005,2.837,4.201
5/1/2005,2.882,4.006
6/1/2005,3.06,3.945
7/1/2005,3.332,4.286
8/1/2005,3.43,4.02
9/1/2005,3.47,4.328
10/1/2005,3.805,4.559
11/1/2005,3.857,4.5
12/1/2005,3.985,4.395
1/1/2006,4.37,4.527
2/1/2006,4.507,4.547
3/1/2006,4.515,4.853
4/1/2006,4.65,5.069
5/1/2006,4.715,5.113
6/1/2006,4.86,5.138
7/1/2006,4.935,4.988
8/1/2006,4.905,4.732
9/1/2006,4.76,4.633
10/1/2006,4.94,4.606
11/1/2006,4.89,4.458
12/1/2006,4.885,4.71
1/1/2007,4.975,4.826
2/1/2007,4.995,4.55
3/1/2007,4.895,4.648
4/1/2007,4.725,4.63
5/1/2007,4.59,4.89
6/1/2007,4.67,5.033
7/1/2007,4.81,4.771
8/1/2007,3.99,4.537
9/1/2007,3.7,4.579
10/1/2007,3.82,4.475
11/1/2007,3.07,3.972
12/1/2007,3.14,4.035
1/1/2008,1.87,3.639
2/1/2008,1.785,3.534
3/1/2008,1.275,3.432
4/1/2008,1.34,3.759
5/1/2008,1.85,4.046
6/1/2008,1.705,3.979
7/1/2008,1.635,3.979
8/1/2008,1.69,3.813
9/1/2008,0.9,3.827
10/1/2008,0.435,3.97
11/1/2008,0.02,2.957
12/1/2008,0.115,2.244
1/1/2009,0.22,2.844
2/1/2009,0.25,3.041
3/1/2009,0.2,2.685
4/1/2009,0.125,3.124
5/1/2009,0.13,3.465
6/1/2009,0.18,3.523
7/1/2009,0.175,3.501
8/1/2009,0.13,3.401
9/1/2009,0.115,3.307
10/1/2009,0.045,3.392
11/1/2009,0.05,3.201
12/1/2009,0.05,3.843
1/1/2010,0.07,3.609
2/1/2010,0.115,3.595
3/1/2010,0.15,3.833
4/1/2010,0.155,3.663
5/1/2010,0.15,3.301
6/1/2010,0.17,2.951
7/1/2010,0.14,2.907
8/1/2010,0.135,2.477
9/1/2010,0.155,2.517
10/1/2010,0.11,2.612
11/1/2010,0.16,2.797
12/1/2010,0.115,3.305
1/1/2011,0.145,3.378
2/1/2011,0.135,3.414
3/1/2011,0.09,3.454
4/1/2011,0.04,3.296
5/1/2011,0.04,3.05
6/1/2011,0.015,3.158
7/1/2011,0.09,2.805
8/1/2011,0.015,2.218
9/1/2011,0.01,1.924
10/1/2011,0.005,2.175
11/1/2011,0.015,2.068
12/1/2011,0.005,1.871
1/1/2012,0.055,1.799
2/1/2012,0.075,1.977
3/1/2012,0.065,2.216
4/1/2012,0.09,1.915
5/1/2012,0.06,1.581
6/1/2012,0.08,1.659
7/1/2012,0.1,1.492
8/1/2012,0.085,1.562
9/1/2012,0.09,1.637
10/1/2012,0.105,1.686
11/1/2012,0.075,1.606
12/1/2012,0.035,1.756
1/1/2013,0.065,1.985
2/1/2013,0.1,1.888
3/1/2013,0.065,1.852
4/1/2013,0.045,1.675
5/1/2013,0.03,2.164
6/1/2013,0.03,2.478
7/1/2013,0.03,2.593
8/1/2013,0.02,2.749
9/1/2013,0.005,2.615
10/1/2013,0.033,2.542
11/1/2013,0.055,2.741
12/1/2013,0.063,3.026
1/1/2014,0.01,2.668
2/1/2014,0.043,2.658
3/1/2014,0.028,2.723
4/1/2014,0.02,2.648
5/1/2014,0.03,2.457
6/1/2014,0.02,2.516
7/1/2014,0.018,2.556
8/1/2014,0.018,2.343
9/1/2014,0.013,2.508
10/1/2014,0.003,2.335
11/1/2014,0.005,2.194
12/1/2014,0.037,2.17
1/1/2015,0.005,1.675
2/1/2015,0.008,2.002
3/1/2015,0.025,1.934
4/1/2015,0.005,2.046
5/1/2015,0.003,2.095
6/1/2015,0.01,2.335
7/1/2015,0.058,2.205
8/1/2015,0.003,2.2
9/1/2015,0.005,2.06
10/1/2015,0.068,2.151
11/1/2015,0.17,2.218
12/1/2015,0.148,2.269
1/1/2016,0.3,1.931
2/1/2016,0.308,1.74
3/1/2016,0.193,1.786
4/1/2016,0.193,1.819
5/1/2016,0.283,1.834
6/1/2016,0.248,1.488
7/1/2016,0.24,1.458
8/1/2016,0.32,1.568
9/1/2016,0.26,1.608
10/1/2016,0.295,1.834
11/1/2016,0.468,2.368
12/1/2016,0.48,2.446
1/1/2017,0.5,2.451
2/1/2017,0.523,2.358
3/1/2017,0.738,2.396
4/1/2017,0.78,2.282
5/1/2017,0.95,2.196
6/1/2017,0.993,2.302
7/1/2017,1.053,2.292
8/1/2017,0.978,2.121
9/1/2017,1.028,2.326
10/1/2017,1.123,2.376
11/1/2017,1.238,2.417
12/1/2017,1.355,2.405
1/1/2018,1.43,2.72
2/1/2018,1.618,2.868
3/1/2018,1.67,2.741
4/1/2018,1.763,2.936
5/1/2018,1.87,2.822
6/1/2018,1.88,2.849
7/1/2018,1.985,2.964
8/1/2018,2.055,2.853
9/1/2018,2.15,3.056
10/1/2018,2.278,3.159
11/1/2018,2.308,3.013
12/1/2018,2.3,2.686
1/1/2019,2.34,2.635
2/1/2019,2.383,2.711
3/1/2019,2.328,2.414
4/1/2019,2.368,2.509
5/1/2019,2.293,2.142
6/1/2019,2.035,2
7/1/2019,2.03,2.021
8/1/2019,1.933,1.506
9/1/2019,1.77,1.675
10/1/2019,1.498,1.691
11/1/2019,1.54,1.776
12/1/2019,1.505,1.919
1/1/2020,1.51,1.52
2/1/2020,1.23,1.127
3/1/2020,0.03,0.698
4/1/2020,0.09,0.622
5/1/2020,0.128,0.648
6/1/2020,0.135,0.653
7/1/2020,0.083,0.536
8/1/2020,0.095,0.693
9/1/2020,0.085,0.677
10/1/2020,0.083,0.86
11/1/2020,0.075,0.844
12/1/2020,0.065,0.917
1/1/2021,0.048,1.093
2/1/2021,0.035,1.46
3/1/2021,0.013,1.746
4/1/2021,0.003,1.631
5/1/2021,0.008,1.581
6/1/2021,0.04,1.443
7/1/2021,0.04,1.239
8/1/2021,0.04,1.304
9/1/2021,0.028,1.529
10/1/2021,0.04,1.605
