DATE,invest(bil.),income,expenditure
1/1/1984,1911.083,14412,21975
1/1/1985,2038.626,15323,23490
1/1/1986,2149.313,16174,23866
1/1/1987,2211.694,17041,24414
1/1/1988,2239.158,18049,25892
1/1/1989,2302.768,19348,27810
1/1/1990,2376.457,19842,28381
1/1/1991,2404.998,20280,29614
1/1/1992,2416.132,20758,29846
1/1/1993,2396.347,22199,30692
1/1/1994,2398.348,23278,31731
1/1/1995,2410.567,24211,32264
1/1/1996,2432.9,25466,33797
1/1/1997,2472.799,27022,34819
1/1/1998,2532.776,28236,35535
1/1/1999,2615.691,29677,36995
1/1/2000,2663.327,31199,38045
1/1/2001,2763.721,32099,39518
1/1/2002,2886.605,32222,40677
1/1/2003,2945.736,32976,40817
1/1/2004,2991.13,33859,43395
1/1/2005,3013.826,35499,46409
1/1/2006,3061.84,37517,48398
1/1/2007,3116.892,38174,49638
1/1/2008,3195.787,38376,50486
1/1/2009,3310.691,38213,49067
1/1/2010,3308.009,38328,48109
1/1/2011,3202.733,39660,49705
1/1/2012,3136.47,40563,51442
1/1/2013,3060.716,42394,51100
1/1/2014,3033.228,42789,53495
1/1/2015,3088.35,44510,55978
1/1/2016,3148.779,46550,57311
1/1/2017,3162.298,48986,60060
1/1/2018,3215.348,50413,61224
1/1/2019,3321.711,54129,63036
1/1/2020,3406.665,54036,61332
1/1/2021,3426.253,57143,66928
